,Drug IDs,NCBI_ID
715,1229,1557
716,11663,1557
717,11982,1557
718,12183,1557
719,12848,1557
720,361,1559
721,441,1559
722,445,1559
723,526,1559
724,773,1559
725,958,1559
726,1030,1559
727,1229,1559
728,11663,1559
729,11666,1559
730,11982,1559
731,12183,1559
732,12848,1559
733,441,1565
734,445,1565
735,526,1565
736,544,1565
737,773,1565
738,958,1565
739,1030,1565
740,1229,1565
741,11663,1565
742,11666,1565
743,11982,1565
744,12183,1565
745,12848,1565
746,441,1576
747,445,1576
748,526,1576
749,544,1576
750,958,1576
751,1030,1576
752,11663,1576
753,11666,1576
754,11982,1576
755,12183,1576
756,12848,1576
757,361,1544
758,441,1544
759,445,1544
760,526,1544
761,958,1544
762,1030,1544
763,1229,1544
764,11663,1544
765,11982,1544
766,12183,1544
767,12848,1544
768,361,5243
769,361,552
770,441,552
771,445,552
772,526,552
773,544,552
774,773,552
775,958,552
776,1030,552
777,1229,552
778,317,7421
779,361,7421
780,958,7421
781,1229,7421
782,544,10599
783,773,10599
784,958,10599
785,1030,10599
786,1229,10599
787,5482,10599
788,361,10800
789,441,10800
790,445,10800
791,526,10800
792,544,10800
793,773,10800
794,958,10800
795,1030,10800
796,1229,10800
797,5482,9429
798,773,11201
799,441,28234
800,544,28234
801,773,28234
802,958,28234
803,1030,28234
804,5482,28234
805,361,10280
806,441,10280
807,445,10280
808,526,10280
809,958,10280
810,1030,10280
811,1229,10280
812,544,6311
813,1229,6311
814,544,79915
815,1229,79915
816,317,1244
817,361,2100
818,441,2100
819,445,2100
820,526,2100
821,544,2100
822,773,2100
823,958,2100
824,1030,2100
825,1229,2100
826,317,1432
827,361,1432
828,441,1432
829,445,1432
830,526,1432
831,544,1432
832,773,1432
833,958,1432
834,1030,1432
835,1229,1432
836,1259,1432
837,5220,1432
838,5294,1432
839,8865,1432
840,8916,1432
841,9073,1432
842,11663,1432
843,11689,1432
844,11740,1432
845,12848,1432
846,544,4780
847,773,4780
848,1229,4780
849,1259,4780
850,11689,4780
851,361,3757
852,441,3757
853,445,3757
854,526,3757
855,544,3757
856,773,3757
857,958,3757
858,1030,3757
859,1229,3757
860,1254,3757
861,1259,3757
862,11663,3757
863,11666,3757
864,11925,3757
865,11982,3757
866,12218,3757
867,12242,3757
868,12774,3757
869,15029,3757
870,361,5530
871,441,5530
872,445,5530
873,526,5530
874,544,5530
875,773,5530
876,958,5530
877,1030,5530
878,1229,5530
879,544,5467
880,1229,5467
881,1254,5467
882,1259,5467
883,11689,5467
884,361,6531
885,441,6531
886,445,6531
887,526,6531
888,544,6531
889,773,6531
890,958,6531
891,1030,6531
892,1229,6531
